"id","source","title","businessDate","owner","location","target","keywords","acl","status","qualityFlags"
"OD10","OneDrive","Track3 근거 통합 브리핑 초안","2026-07-12","이현지","onedrive/Briefings/10_Track3_Grounded_Briefing_Draft.docx","/Track2-Sample/Briefings/10_Track3_Grounded_Briefing_Draft.docx","FabricIQ;WorkIQ;BackToSchool;원본 링크","Workshop-Participants","Draft","draft"
"OD11","OneDrive","고객등급별 리텐션 세그먼트 노트","2026-06-09","송하늘","onedrive/MeetingNotes/11_Retention_Segment_Notes_by_Customer_Tier.docx","/Track2-Sample/MeetingNotes/11_Retention_Segment_Notes_by_Customer_Tier.docx","Platinum;Gold;Silver;Bronze;VIPRetention","Workshop-Participants","Final",""
"OD12","OneDrive","비전자 카테고리 캠페인 보조 소재 노트","2026-06-11","최민석","onedrive/MeetingNotes/12_Non_Electronics_Campaign_Support_Materials_Notes.docx","/Track2-Sample/MeetingNotes/12_Non_Electronics_Campaign_Support_Materials_Notes.docx","ComfyChair Home;DailyTee Cotton;BackToSchool;번들","Workshop-Participants","Draft","draft"
"EM01","Outlook","[리더십] 5월 매출 급락 이슈 공유","2026-05-18T08:40:00+09:00","김서연","outlook/EM01_sales-drop_message.eml","Configured sample recipients","SummerPush;결제 실패;전환율","Message recipients","Original",""
"EM02","Outlook","RE: [리더십] 5월 매출 급락 이슈 공유","2026-05-18T11:05:00+09:00","정도윤","outlook/EM02_sales-drop_reply.eml","Configured sample recipients","SummerPush;RetrySuccess;PAY00019","Message recipients","Reply",""
"EM03","Outlook","결제 실패 급증 관련 결제팀 1차 회신","2026-05-19T09:20:00+09:00","정도윤","outlook/EM03_payment-incident_message.eml","Configured sample recipients","AeroPhone X;결제 실패;RetrySuccess","Message recipients","Original",""
"EM04","Outlook","VIPRetention 대상 Platinum 고객 이탈 경고","2026-05-15T10:10:00+09:00","송하늘","outlook/EM04_vip-churn_message.eml","Configured sample recipients","VIPRetention;Platinum;DailyTee Cotton","Message recipients","Original",""
"EM05","Outlook","[긴급] 핵심 상품 재고 부족 및 캠페인 노출 조정 요청","2026-05-16T09:15:00+09:00","오지훈","outlook/EM05_stockout_message.eml","Configured sample recipients","AeroPhone X;SmartWatch Pro;UltraBook 15","Message recipients","Original",""
"EM06","Outlook","RE: [긴급] 핵심 상품 재고 부족 및 캠페인 노출 조정 요청","2026-05-17T08:50:00+09:00","윤가영","outlook/EM06_stockout_reply.eml","Configured sample recipients","SH09001;SH09002;SH09003;배송 지연","Message recipients","Reply",""
"EM07","Outlook","반품 사유 월간 요약 - 채널 및 고객등급 검토","2026-05-25T16:30:00+09:00","배수민","outlook/EM07_returns_message.eml","Configured sample recipients","NotAsDescribed;LateDelivery;MobileApp;OfflineStore","Message recipients","Original",""
"EM08","Outlook","FlashWeek 프로모션 마진 검토 요청","2026-05-18T14:40:00+09:00","서지민","outlook/EM08_flashweek-margin_message.eml","Configured sample recipients","FlashWeek;Percent;PR00050","Message recipients","Original",""
"EM09","Outlook","[데이터 품질] Track1 차단 이슈 및 Track2 인용 주의","2026-05-27T09:00:00+09:00","임채원","outlook/EM09_data-quality_message.eml","Configured sample recipients","PAY90001;T90001;SH00001;O00007","Message recipients","Original",""
"EM10","Outlook","BackToSchool 캠페인 조건부 승인 요청","2026-07-10T15:20:00+09:00","최민석","outlook/EM10_backtoschool_message.eml","Configured sample recipients","BackToSchool;OnlineMall;Go/No-Go","Message recipients","Original",""
"EM11","Outlook","UltraBook 15 공급 일정 및 고객 공지 기준","2026-05-16T13:45:00+09:00","오지훈","outlook/EM11_ultrabook-vendor_message.eml","Configured sample recipients","UltraBook 15;S09003;O09003","Message recipients","Original",""
"EM12","Outlook","RE: BackToSchool 캠페인 조건부 승인 요청","2026-07-11T09:30:00+09:00","김서연","outlook/EM12_backtoschool_reply.eml","Configured sample recipients","BackToSchool;AeroPhone X;SmartWatch Pro;UltraBook 15","Message recipients","Reply",""
"EM13","Outlook","채널·고객등급별 반품 심층 분석 공유","2026-06-02T10:15:00+09:00","한유진","outlook/EM13_returns-review_message.eml","Configured sample recipients","ChangedMind;Damaged;SizeIssue;Gold;Silver;Bronze","Message recipients","Original",""
"EM14","Outlook","RE: 채널·고객등급별 반품 심층 분석 공유","2026-06-02T13:40:00+09:00","송하늘","outlook/EM14_returns-review_reply.eml","Configured sample recipients","Silver;Platinum;VIPRetention;NotAsDescribed","Message recipients","Reply",""
"EM15","Outlook","비전자 카테고리 보조 소재 및 재고 확인 요청","2026-06-05T09:10:00+09:00","최민석","outlook/EM15_nonelectronics-plan_message.eml","Configured sample recipients","ComfyChair Home;DailyTee Cotton;BackToSchool;번들","Message recipients","Original",""
"TM01","Teams","AeroPhone X 배송 지연 클레임","2026-05-20T09:05:00+09:00","배수민","teams/threads.json","cs-tier2","AeroPhone X;O09001;SH09001;T09001","Team channel: cs-tier2","3 messages",""
"TM02","Teams","SmartWatch Pro 재고 문의 폭증","2026-05-16T11:10:00+09:00","배수민","teams/threads.json","cs-tier2","SmartWatch Pro;O09002;SH09002;T09002","Team channel: cs-tier2","3 messages",""
"TM03","Teams","UltraBook 15 배송 추적 갱신","2026-05-17T08:35:00+09:00","윤가영","teams/threads.json","logistics","UltraBook 15;O09003;SH09003;T09003","Team channel: logistics","3 messages",""
"TM04","Teams","핵심 상품 품절 임박 공동 대응","2026-05-16T09:00:00+09:00","오지훈","teams/threads.json","inventory","AeroPhone X;SmartWatch Pro;UltraBook 15","Team channel: inventory","3 messages",""
"TM05","Teams","결제 실패와 RetrySuccess 지표 분리","2026-05-19T10:00:00+09:00","정도윤","teams/threads.json","payments","RetrySuccess;Failed;PAY00019","Team channel: payments","3 messages",""
"TM06","Teams","SummerPush 중간 성과 해석","2026-05-20T15:00:00+09:00","한유진","teams/threads.json","campaign-ops","SummerPush;전환율;결제 실패","Team channel: campaign-ops","3 messages",""
"TM07","Teams","BackToSchool Go/No-Go 준비","2026-07-10T13:00:00+09:00","최민석","teams/threads.json","campaign-ops","BackToSchool;OnlineMall;Go/No-Go","Team channel: campaign-ops","4 messages",""
"TM08","Teams","FlashWeek Percent 할인 마진 검토","2026-05-18T14:00:00+09:00","서지민","teams/threads.json","campaign-ops","FlashWeek;Percent;Bundle;PR00050","Team channel: campaign-ops","3 messages",""
"TM09","Teams","NotAsDescribed 반품 클러스터","2026-05-24T10:20:00+09:00","배수민","teams/threads.json","cs-tier2","NotAsDescribed;DailyTee Cotton;Platinum","Team channel: cs-tier2","3 messages",""
"TM10","Teams","Track1 FK/PK 차단 이슈","2026-05-27T09:10:00+09:00","임채원","teams/threads.json","data-quality","PAY90001;T90001;SH00001","Team channel: data-quality","3 messages",""
"TM11","Teams","금액 정합성 불일치 조사","2026-05-27T11:00:00+09:00","임채원","teams/threads.json","data-quality","O00007;O00600;gross_amount","Team channel: data-quality","3 messages",""
"TM12","Teams","비표준 상태 코드 정렬","2026-05-28T10:00:00+09:00","임채원","teams/threads.json","data-quality","Completed;Cancelled;RetrySuccess;InTransit","Team channel: data-quality","3 messages",""
"TM13","Teams","리더십 브리핑 근거 점검","2026-07-11T15:00:00+09:00","이현지","teams/threads.json","leadership-briefing","FabricIQ;WorkIQ;원본 링크","Team channel: leadership-briefing","3 messages",""
"TM14","Teams","BackToSchool 조건부 Go 후속","2026-07-11T09:40:00+09:00","김서연","teams/threads.json","leadership-briefing","BackToSchool;AeroPhone X;조건부 Go","Team channel: leadership-briefing","3 messages",""
"TM15","Teams","의도된 표기 불일치 점검","2026-05-20T16:00:00+09:00","배수민","teams/threads.json","cs-tier2","Aero Phone X;AeroPhone X;표기 정규화","Team channel: cs-tier2","3 messages","intentional-alias"
"TM16","Teams","고객등급별 반품 패턴 공유","2026-06-02T10:30:00+09:00","배수민","teams/threads.json","cs-tier2","Silver;Gold;Bronze;SizeIssue;NotAsDescribed","Team channel: cs-tier2","3 messages",""
"TM17","Teams","비전자 카테고리 재고 및 보조 소재","2026-06-05T09:30:00+09:00","최민석","teams/threads.json","inventory","ComfyChair Home;DailyTee Cotton;BackToSchool","Team channel: inventory","3 messages",""
"TM18","Teams","주문 취소율과 배송 지연 상관 점검","2026-05-24T14:00:00+09:00","한유진","teams/threads.json","campaign-ops","O00013;LateDelivery;취소;배송 지연","Team channel: campaign-ops","3 messages",""
